"File Name","Parent Folder"
"20201230T050000+1030_Bon-Bon-Station-Dry-A_418011.flac","6_BonBonStationDryA"
"20201230T070000+1030_Bon-Bon-Station-Dry-A_418014.flac","6_BonBonStationDryA"
"20201230T090000+1030_Bon-Bon-Station-Dry-A_418017.flac","6_BonBonStationDryA"
"20201231T050000+1030_Bon-Bon-Station-Dry-A_418021.flac","6_BonBonStationDryA"
"20201231T070000+1030_Bon-Bon-Station-Dry-A_418020.flac","6_BonBonStationDryA"
"20201230T050000+1100_Booroopki-Dry-B_278581.flac","307_BooroopkiDryB"
"20201230T070000+1100_Booroopki-Dry-B_278580.flac","307_BooroopkiDryB"
"20201230T090000+1100_Booroopki-Dry-B_278587.flac","307_BooroopkiDryB"
"20201231T050000+1100_Booroopki-Dry-B_278593.flac","307_BooroopkiDryB"
"20201231T070000+1100_Booroopki-Dry-B_278600.flac","307_BooroopkiDryB"
"20201231T090000+1100_Booroopki-Dry-B_278597.flac","307_BooroopkiDryB"
"20201230T050000+1030_Bon-Bon-Station-Dry-B_426598.flac","8_BonBonStationDryB"
"20201230T070000+1030_Bon-Bon-Station-Dry-B_426601.flac","8_BonBonStationDryB"
"20201230T090000+1030_Bon-Bon-Station-Dry-B_426596.flac","8_BonBonStationDryB"
"20201231T050000+1030_Bon-Bon-Station-Dry-B_426604.flac","8_BonBonStationDryB"
"20201231T070000+1030_Bon-Bon-Station-Dry-B_426607.flac","8_BonBonStationDryB"
"20201230T050000+1100_Booroopki-Dry-A_271849.flac","305_BooroopkiDryA"
"20201230T070000+1100_Booroopki-Dry-A_271857.flac","305_BooroopkiDryA"
"20201230T090000+1100_Booroopki-Dry-A_271854.flac","305_BooroopkiDryA"
"20201231T050000+1100_Booroopki-Dry-A_271865.flac","305_BooroopkiDryA"
"20201231T070000+1100_Booroopki-Dry-A_271867.flac","305_BooroopkiDryA"
"20201231T090000+1100_Booroopki-Dry-A_271866.flac","305_BooroopkiDryA"
